,,,,,,,,,,,,,,,,37.0,Kalai,mash,5604,5534,"5,505",5661,"5,748","5,881","6,055","6,059","6,172","6,285","6,563","6,875","5,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,38.0,",,",mashur,4880,5158,"5,218",5392,"5,761","5,987","6,146","6,195","6,425","6,306","6,297","6,328","5,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,39.0,",,",mug,7346,7461,"7,461",7525,"7,463","7,311","7,603","7,692","7,833","7,756","7,880","8,088","7,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,40.0,",,",Chola,6711,6866,"6,898",6938,"7,021","6,931","6,867","6,722","6,574","6,571","6,616","6,659","6,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,41.0,",,",Motor local,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408","3,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,42.0,",,",Motor foreign,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408","3,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,43.0,",,",kheshari,3004,3043,"3,081",3227,"3,568","3,573","3,657","3,649","3,554","3,674","3,875","3,880","3,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,44.0,Dal,Mash gota,7062,7230,"7,211",7279,"7,391","7,407","7,492","7,767","7,873","7,739","8,023","8,349","7,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,45.0,",,",Broken,7248,7251,"7,203",7251,"7,523","7,600","7,658","7,860","7,870","7,948","8,389","8,870","7,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,46.0,",,","Mashur local
gota",8133,8272,"8,385",8411,"8,784","9,043","9,312","9,476","9,466","9,518","9,923","9,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,47.0,",,",Mashur broken,6069,6204,"6,163",6198,"6,346","6,402","6,337","6,486","6,682","6,286","6,283","6,428","6,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,48.0,",,",Mashur foreign,7413,7510,"7,565",7458,"7,764","7,827","8,069","7,895","7,797","8,187","8,339","8,465","7,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,49.0,",,",Mug local,10040,10242,"10,068",10039,"10,111","10,117","10,300","10,339","10,574","10,825","11,084","11,715","10,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,50.0,",,",Chola gota,7292,7543,"7,563",7713,"7,682","7,707","7,592","7,698","7,536","7,380","7,408","7,430","7,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,51.0,",,",Chola broken,7403,7638,"7,627",7643,"7,764","7,800","7,668","7,547","7,452","7,328","7,383","7,288","7,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,52.0,",,",Motor local,4744,5014,"5,010",5091,"5,264","5,442","5,663","5,328","5,316","5,372","5,495","5,386","5,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,53.0,",,",Motor foreign,3614,3661,"3,573",3573,"3,543","3,502","3,451","3,380","3,357","3,426","3,431","3,368","3,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,54.0,",,",kheshari,4342,4425,"4,427",4629,"5,133","5,144","5,085","5,131","5,126","5,440","5,690","6,003","5,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,55.0,Oil seed,Mustard,5160,4930,"4,706",4670,"4,735","5,042","4,817","4,844","4,824","4,885","4,919","4,958","4,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,56.0,",,",Tishi,5850,5667,"5,373",5321,"5,894","5,902","6,009","6,016","6,000","5,969","6,027","6,104","5,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,57.0,",,",Til,5422,5450,"5,785",5156,"7,190","7,209","7,255","6,065","6,129","7,168","8,176","8,148","6,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,58.0,",,",Nut,8647,8613,"9,279",9220,"9,348","9,103","8,987","8,815","8,895","8,994","9,809","9,176","9,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,59.0,Oil,Mustard,13139,13038,"12,981",12808,"12,739","12,986","12,818","12,694","12,806","12,831","12,817","12,846","12,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,60.0,",,",Soyabeen,7901,7904,"7,944",7877,"7,845","7,793","7,666","7,783","7,788","7,794","7,886","8,159","7,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,61.0,",,",Pulm,6177,6240,"6,246",6214,"6,078","6,022","6,002","6,065","6,105","6,131","6,258","6,660","6,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,62.0,“,Ghee (dalda),8634,8347,"8,550",8025,"8,107","8,370","8,173","7,992","7,972","8,078","8,128","8,149","8,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,63.0,",,",Butter oil,61750,61750,"60,500",56750,"52,350","60,500","51,135","63,167","62,000","61,750","60,000","60,000","59,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,64.0,",,",Coconut,22332,21808,"22,209",22592,"22,581","22,660","22,796","22,550","22,407","22,480","22,269","22,699","22,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,",,",Til,3331,3327,"3,283",3613,"3,600","3,460","3,559","3,254","3,321","3,378","3,446","3,429","3,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,",,",Others,3667,3667,"3,299",3293,"3,591","3,223","3,555","3,518","4,008","3,557","3,513","3,527","3,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,Spice,Onion local,1872,1810,"2,022",1988,"2,154","2,150","3,151","3,723","5,262","8,673","14,705","11,810","4,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,",,",Onion imported,1671,1542,"1,530",1649,"1,733","1,982","2,890","3,086","4,724","7,904","13,621","11,997","4,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,",,",Garlic local,4138,4157,"3,838",4431,"5,972","7,294","10,336","12,247","12,947","12,848","14,461","15,357","9,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,",,",Garlic imported,6104,6809,"8,167",8897,"9,987","11,233","13,764","15,308","14,285","12,474","15,260","14,351","11,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,Chilli dried,16010,15808,"15,453",15302,"15,590","15,501","15,953","16,458","16,765","17,241","19,198","20,618","16,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,",,",Green chilli,3371,3523,"3,953",3720,"4,190","5,079","8,278","6,037","4,436","5,267","4,082","3,467","4,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,",,",Ginger local,8585,8512,"8,942",9638,"11,310","14,369","16,235","16,990","16,082","14,949","14,116","12,186","12,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,",,",Ginger imported,8983,8460,"8,782",8990,"10,206","12,734","13,600","14,761","14,137","13,580","13,953","11,871","11,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,",,",Turmeric round,13004,12776,"12,622",12365,"12,279","12,317","12,401","12,325","12,601","13,071","13,062","13,285","12,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,",,",Turmeric long,12673,12569,"12,505",12335,"12,400","12,307","12,440","12,506","12,754","12,732","12,760","12,694","12,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,",,",Coriander old,9515,9651,"9,589",9304,"9,194","9,126","9,247","9,282","9,454","9,248","9,429","9,650","9,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,",,",Coriander new,7183,8653,"6,815",8131,"8,398","8,386","7,879","8,755","9,620","9,425","6,425","7,800","8,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,Jute,White/tosha top,"2,750","2,747","2,755","2,838","3,163","3,213","3,213","3,273","3,193","2,825","2,825","2,825","2,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,",,",Middle,"4,000","4,000","4,000","4,000","4,000","4,000",-,"4,104","4,374","4,438","4,438","4,438","4,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,",,",B-botom,"4,650","4,995","5,065","5,013","5,100","5,100","5,100","4,800","4,403","4,565","4,581","4,769","4,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,",,",C -bottom,"4,900","5,300","5,300","5,300","5,300","5,300","5,300","4,621","4,302","4,233","4,000","4,233","4,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,",,",Cross botom,"4,075","4,600","4,600",-,-,-,-,"4,100","4,056","3,900","3,900","3,900","4,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,",,",Smr,"4,050","4,050","4,050","4,600","4,600",-,-,-,-,-,-,-,"4,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,",,",Gor chhat,"4,317","4,395",-,"4,487","4,498","4,651","4,648","4,424","4,167","4,118","4,098","4,140","4,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,",,",Mesta gor chhat,"4,150","4,163","4,190","4,190","4,160","4,013","4,013","4,117","3,871","4,113","4,000","4,000","4,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,Cotton,Shimul,"35,161","35,150","35,161","34,961","34,828","34,972","34,972","34,972","34,972","34,083","34,343","34,083","34,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,",,",carpus,"14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,Tobbaco,Jati heavy,"10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
